date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:29	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Oct%202019%2019:23:29%20GMT	https://perubus.sysaidit.com/index.jsp	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/index.0.delayed	(from )
14:23:35	14347/14347	---MC-	200	added ('OK')	text/html	date:Sun,%2006%20Oct%202019%2019:23:29%20GMT	https://perubus.sysaidit.com/Login.jsp	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/Login.html	(from )
14:23:35	36/36	---M--	200	added ('OK')	text/plain	etag:W/%2236-1570130204000%22	https://perubus.sysaidit.com/robots.txt		(from )
14:23:36	2890/2890	---M--	200	added ('OK')	text/css	etag:W/%222890-1570130196000%22	https://perubus.sysaidit.com/css/webfonts.css	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/css/webfonts.css	(from https://perubus.sysaidit.com/Login.jsp)
14:23:36	1824/1824	---M--	200	added ('OK')	text/css	etag:W/%221824-1570130196000%22	https://perubus.sysaidit.com/css/_default/_default.css	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/css/_default/_default.css	(from https://perubus.sysaidit.com/Login.jsp)
14:23:37	518/518	---M--	200	added ('OK')	text/css	etag:W/%22518-1570130196000%22	https://perubus.sysaidit.com/css/_laf/_laf.css	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/css/_laf/_laf.css	(from https://perubus.sysaidit.com/Login.jsp)
14:23:38	5775/5775	---M--	200	added ('OK')	text/css	etag:W/%225775-1570130196000%22	https://perubus.sysaidit.com/css/pageLayout/pageLayout.css	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/css/pageLayout/pageLayout.css	(from https://perubus.sysaidit.com/Login.jsp)
14:23:38	3533/3533	---M--	200	added ('OK')	text/css	etag:W/%223533-1570130196000%22	https://perubus.sysaidit.com/css/formCtrls/formCtrls.css	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/css/formCtrls/formCtrls.css	(from https://perubus.sysaidit.com/Login.jsp)
14:23:39	559/559	---M--	200	added ('OK')	text/css	etag:W/%22559-1570130196000%22	https://perubus.sysaidit.com/css/buttons/buttons.css	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/css/buttons/buttons.css	(from https://perubus.sysaidit.com/Login.jsp)
14:23:39	3259/3259	---M--	200	added ('OK')	text/css	etag:W/%223259-1570130196000%22	https://perubus.sysaidit.com/css/login/login.css	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/css/login/login.css	(from https://perubus.sysaidit.com/Login.jsp)
14:23:40	2953/2953	---M--	200	added ('OK')	text/css	etag:W/%222953-1570130196000%22	https://perubus.sysaidit.com/css/login/newLogin.css	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/css/login/newLogin.css	(from https://perubus.sysaidit.com/Login.jsp)
14:23:41	21468/21468	---M--	200	added ('OK')	application/javascript	etag:W/%2221468-1551121220000%22	https://perubus.sysaidit.com/lib/ajaxTools.js?v19.4.23b1	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/lib/ajaxToolsa407.js	(from https://perubus.sysaidit.com/Login.jsp)
14:23:41	96383/96383	---M--	200	added ('OK')	application/javascript	etag:W/%2296383-1570130204000%22	https://perubus.sysaidit.com/js/jquery-1.11.0.min.js	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/js/jquery-1.11.0.min.js	(from https://perubus.sysaidit.com/Login.jsp)
14:23:42	17140/17140	---M--	200	added ('OK')	application/javascript	etag:W/%2217140-1570130204000%22	https://perubus.sysaidit.com/js/jquery-migrate-1.2.1.js	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/js/jquery-migrate-1.2.1.js	(from https://perubus.sysaidit.com/Login.jsp)
14:23:42	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Oct%202019%2019:23:42%20GMT	https://perubus.sysaidit.com/guestLogin	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/guestLogin.e.delayed	(from https://perubus.sysaidit.com/Login.jsp)
14:23:43	6492/6492	---M--	200	added ('OK')	text/html	date:Sun,%2006%20Oct%202019%2019:23:42%20GMT	https://perubus.sysaidit.com/ForgotPassword.jsp?accountid=perubus	C:/Mis%20lugares%20Web/sysaid/perubus.sysaidit.com/ForgotPassword67d3.html	(from https://perubus.sysaidit.com/Login.jsp)
